Fitur;Ukuran;Bit;PCA;Akurasi
BSIF;17x17;6;0,6;100
BSIF;17x17;6;0,8;99,583
BSIF;17x17;6;N/A;99,583
BSIF;17x17;6;0,4;99,583
BSIF;15x15;10;0,6;99,583
BSIF;15x15;10;N/A;99,583
BSIF;15x15;10;0,8;99,583
BSIF;17x17;9;0,6;99,167
BSIF;17x17;9;N/A;99,167
BSIF;17x17;9;0,8;99,167
BSIF;15x15;10;0,4;99,167
BSIF;15x15;9;0,6;98,75
BSIF;17x17;8;0,8;98,75
BSIF;17x17;8;0,4;98,75
BSIF;17x17;8;0,6;98,75
BSIF;17x17;8;N/A;98,75
BSIF;17x17;11;0,8;98,75
BSIF;17x17;11;0,6;98,75
BSIF;17x17;11;N/A;98,75
BSIF;17x17;9;0,4;98,333
BSIF;15x15;9;0,8;98,333
BSIF;15x15;9;N/A;98,333
BSIF;13x13;9;0,4;98,333
BSIF;13x13;9;0,8;98,333
BSIF;13x13;9;N/A;98,333
BSIF;13x13;9;0,6;98,333
BSIF;15x15;7;0,8;98,333
BSIF;15x15;7;N/A;98,333
BSIF;17x17;6;0,2;98,333
BSIF;17x17;12;0,6;98,333
BSIF;17x17;12;N/A;98,333
BSIF;17x17;12;0,8;98,333
BSIF;15x15;11;N/A;98,333
BSIF;15x15;9;0,4;97,917
BSIF;17x17;7;0,8;97,917
BSIF;17x17;7;N/A;97,917
BSIF;17x17;7;0,4;97,917
BSIF;17x17;7;0,6;97,917
BSIF;17x17;11;0,4;97,917
BSIF;15x15;11;0,8;97,917
BSIF;15x15;11;0,6;97,917
BSIF;17x17;10;0,8;97,917
BSIF;17x17;10;0,6;97,917
BSIF;17x17;10;N/A;97,917
BSIF;15x15;8;0,8;97,5
BSIF;15x15;8;N/A;97,5
BSIF;15x15;7;0,6;97,5
BSIF;17x17;5;0,4;97,5
BSIF;17x17;12;0,4;97,5
BSIF;17x17;11;0,2;97,5
BSIF;17x17;10;0,4;97,5
BSIF;17x17;10;0,2;97,5
BSIF;15x15;8;0,6;97,083
BSIF;17x17;5;0,6;97,083
BSIF;15x15;11;0,4;97,083
BSIF;15x15;10;0,2;97,083
BSIF;15x15;9;0,2;96,667
BSIF;17x17;5;0,8;96,667
BSIF;17x17;5;N/A;96,667
BSIF;13x13;11;0,6;96,667
BSIF;13x13;10;0,8;96,667
BSIF;13x13;10;N/A;96,667
BSIF;17x17;9;0,2;96,25
BSIF;11x11;9;0,4;96,25
BSIF;11x11;9;0,6;96,25
BSIF;11x11;9;N/A;96,25
BSIF;11x11;9;0,8;96,25
BSIF;15x15;6;N/A;96,25
BSIF;15x15;6;0,8;96,25
BSIF;17x17;5;0,2;96,25
BSIF;13x13;11;0,4;96,25
BSIF;13x13;11;N/A;96,25
BSIF;13x13;11;0,8;96,25
BSIF;13x13;10;0,6;96,25
BSIF;15x15;8;0,4;95,833
BSIF;13x13;8;N/A;95,833
BSIF;15x15;7;0,4;95,833
BSIF;11x11;12;0,8;95,833
BSIF;11x11;12;N/A;95,833
BSIF;13x13;10;0,4;95,833
BSIF;13x13;8;0,8;95,417
BSIF;13x13;8;0,6;95,417
BSIF;15x15;12;N/A;95,417
BSIF;11x11;12;0,6;95,417
BSIF;15x15;11;0,2;95,417
BSIF;15x15;6;0,6;95
BSIF;13x13;6;N/A;95
BSIF;13x13;6;0,8;95
BSIF;13x13;6;0,6;95
BSIF;15x15;12;0,8;95
BSIF;15x15;12;0,6;95
BSIF;13x13;12;0,6;95
BSIF;17x17;8;0,2;94,583
BSIF;13x13;7;0,8;94,583
BSIF;13x13;7;N/A;94,583
BSIF;13x13;7;0,6;94,583
BSIF;17x17;12;0,2;94,583
BSIF;13x13;12;0,8;94,583
BSIF;13x13;12;N/A;94,583
BSIF;13x13;7;0,4;94,167
BSIF;13x13;6;0,4;94,167
BSIF;15x15;12;0,4;94,167
BSIF;13x13;12;0,4;94,167
BSIF;11x11;11;0,6;94,167
BSIF;11x11;11;N/A;94,167
BSIF;11x11;10;0,4;94,167
BSIF;11x11;10;0,8;94,167
BSIF;13x13;9;0,2;93,75
BSIF;11x11;8;0,8;93,75
BSIF;11x11;8;N/A;93,75
BSIF;11x11;7;0,4;93,75
BSIF;11x11;7;0,8;93,75
BSIF;11x11;7;N/A;93,75
BSIF;11x11;11;0,8;93,75
BSIF;11x11;10;0,6;93,75
BSIF;11x11;10;N/A;93,75
BSIF;11x11;9;0,2;93,333
BSIF;15x15;8;0,2;93,333
BSIF;13x13;8;0,4;93,333
BSIF;17x17;7;0,2;93,333
BSIF;11x11;7;0,6;93,333
BSIF;11x11;12;0,4;93,333
BSIF;11x11;8;0,6;92,917
BSIF;9x9;10;N/A;92,5
BSIF;9x9;10;0,6;92,5
BSIF;9x9;10;0,8;92,5
BSIF;13x13;10;0,2;92,5
BSIF;11x11;8;0,4;92,083
BSIF;15x15;6;0,4;92,083
BSIF;15x15;5;0,8;92,083
BSIF;15x15;5;N/A;92,083
BSIF;13x13;11;0,2;92,083
BSIF;11x11;11;0,4;92,083
BSIF;15x15;7;0,2;91,667
BSIF;15x15;5;0,6;91,667
BSIF;15x15;12;0,2;91,25
BSIF;9x9;10;0,4;91,25
BSIF;13x13;6;0,2;90,833
BSIF;11x11;10;0,2;90,833
BSIF;11x11;11;0,2;90,417
BSIF;11x11;12;0,2;89,583
BSIF;15x15;6;0,2;89,167
BSIF;15x15;5;0,4;89,167
BSIF;9x9;9;0,8;88,75
BSIF;9x9;9;N/A;88,75
BSIF;13x13;8;0,2;88,75
BSIF;15x15;5;0,2;88,75
BSIF;13x13;7;0,2;88,333
BSIF;13x13;5;0,6;88,333
BSIF;13x13;12;0,2;88,333
BSIF;9x9;9;0,6;87,917
BSIF;13x13;5;0,8;87,5
BSIF;13x13;5;N/A;87,5
BSIF;13x13;5;0,4;87,5
BSIF;11x11;6;0,8;87,083
BSIF;11x11;6;N/A;87,083
BSIF;9x9;9;0,4;86,667
BSIF;9x9;10;0,2;86,667
BSIF;9x9;8;N/A;86,25
BSIF;9x9;7;N/A;86,25
BSIF;11x11;6;0,6;86,25
BSIF;11x11;5;0,8;86,25
BSIF;11x11;5;N/A;85,833
BSIF;9x9;12;N/A;85,833
BSIF;9x9;8;0,8;85,417
BSIF;9x9;7;0,6;85,417
BSIF;11x11;5;0,6;85,417
BSIF;9x9;12;0,8;85,417
BSIF;9x9;12;0,6;85,417
BSIF;9x9;7;0,4;85
BSIF;9x9;7;0,8;85
BSIF;9x9;8;0,6;84,583
BSIF;11x11;8;0,2;84,583
BSIF;11x11;7;0,2;84,583
BSIF;7x7;5;0,6;84,583
BSIF;9x9;11;N/A;84,583
BSIF;9x9;11;0,8;84,583
BSIF;7x7;5;N/A;84,167
BSIF;7x7;5;0,8;84,167
BSIF;9x9;12;0,4;84,167
BSIF;9x9;11;0,6;84,167
BSIF;11x11;6;0,4;83,75
BSIF;9x9;8;0,4;83,333
BSIF;7x7;5;0,4;83,333
BSIF;9x9;11;0,4;83,333
BSIF;9x9;5;N/A;82,917
BSIF;13x13;5;0,2;82,917
BSIF;9x9;5;0,8;82,5
BSIF;9x9;9;0,2;82,083
BSIF;9x9;5;0,4;82,083
BSIF;9x9;5;0,6;82,083
BSIF;11x11;5;0,4;81,667
BSIF;9x9;7;0,2;79,583
BSIF;9x9;12;0,2;79,583
BSIF;9x9;8;0,2;77,917
BSIF;9x9;11;0,2;77,917
BSIF;7x7;12;0,8;77,5
BSIF;7x7;12;N/A;77,5
BSIF;7x7;12;0,6;77,083
BSIF;9x9;6;N/A;76,667
BSIF;7x7;5;0,2;76,667
BSIF;7x7;12;0,4;76,667
BSIF;9x9;6;0,8;76,25
BSIF;9x9;6;0,6;75,833
BSIF;9x9;5;0,2;75
BSIF;7x7;10;N/A;75
BSIF;7x7;10;0,8;75
BSIF;11x11;6;0,2;74,583
BSIF;7x7;10;0,6;74,167
BSIF;9x9;6;0,4;73,75
BSIF;7x7;10;0,4;73,75
BSIF;7x7;6;N/A;73,333
BSIF;7x7;6;0,6;73,333
BSIF;7x7;6;0,8;72,917
BSIF;7x7;12;0,2;72,5
BSIF;7x7;9;N/A;72,083
BSIF;7x7;9;0,8;72,083
BSIF;7x7;6;0,4;71,667
BSIF;5x5;10;N/A;71,667
BSIF;5x5;10;0,8;71,667
BSIF;5x5;10;0,6;71,667
BSIF;7x7;9;0,6;71,25
BSIF;7x7;7;N/A;71,25
BSIF;5x5;10;0,4;71,25
BSIF;7x7;7;0,8;70,833
BSIF;5x5;9;N/A;70,417
BSIF;5x5;9;0,8;70,417
BSIF;7x7;9;0,4;70
BSIF;5x5;9;0,6;70
BSIF;7x7;7;0,6;70
BSIF;7x7;11;0,4;70
BSIF;11x11;5;0,2;69,583
BSIF;7x7;11;N/A;69,583
BSIF;7x7;11;0,8;69,583
BSIF;5x5;8;0,4;69,167
BSIF;5x5;8;N/A;69,167
BSIF;5x5;8;0,8;69,167
BSIF;7x7;7;0,4;69,167
BSIF;7x7;11;0,6;69,167
BSIF;5x5;9;0,4;68,75
BSIF;5x5;8;0,6;68,75
BSIF;9x9;6;0,2;68,75
BSIF;7x7;8;N/A;67,5
BSIF;7x7;8;0,8;67,5
BSIF;7x7;8;0,6;67,083
BSIF;7x7;10;0,2;67,083
BSIF;5x5;10;0,2;67,083
BSIF;5x5;9;0,2;66,667
BSIF;7x7;9;0,2;65,833
BSIF;7x7;8;0,4;65,833
BSIF;7x7;6;0,2;65,417
BSIF;7x7;8;0,2;64,583
BSIF;7x7;11;0,2;64,583
BSIF;5x5;8;0,2;64,167
BSIF;5x5;11;N/A;62,917
BSIF;5x5;11;0,8;62,917
BSIF;5x5;11;0,6;62,917
BSIF;5x5;11;0,4;62,5
BSIF;7x7;7;0,2;62,083
BSIF;5x5;5;0,8;62,083
BSIF;5x5;5;0,6;62,083
BSIF;5x5;5;0,4;62,083
BSIF;5x5;5;N/A;62,083
BSIF;5x5;7;0,8;58,75
BSIF;5x5;7;N/A;58,75
BSIF;5x5;7;0,4;57,917
BSIF;5x5;7;0,6;57,917
BSIF;5x5;12;0,4;57,5
BSIF;5x5;12;0,8;56,667
BSIF;5x5;12;0,6;56,667
BSIF;5x5;12;N/A;56,667
BSIF;5x5;11;0,2;55,833
BSIF;5x5;5;0,2;54,583
BSIF;5x5;12;0,2;54,167
BSIF;5x5;6;N/A;53,333
BSIF;5x5;6;0,8;53,333
BSIF;5x5;6;0,6;52,917
BSIF;5x5;6;0,4;52,5
BSIF;5x5;7;0,2;51,25
BSIF;5x5;6;0,2;47,083
BSIF;3x3;5;N/A;27,083
BSIF;3x3;5;0,8;27,083
BSIF;3x3;5;0,4;26,667
BSIF;3x3;5;0,6;26,667
BSIF;3x3;8;N/A;25,833
BSIF;3x3;8;0,6;25,833
BSIF;3x3;8;0,8;25,833
BSIF;3x3;8;0,4;25,417
BSIF;3x3;6;0,8;25,417
BSIF;3x3;6;0,4;25,417
BSIF;3x3;6;N/A;25,417
BSIF;3x3;6;0,6;25
BSIF;3x3;8;0,2;24,167
BSIF;3x3;6;0,2;23,333
BSIF;3x3;5;0,2;22,5
BSIF;3x3;7;0,4;16,25
BSIF;3x3;7;N/A;16,25
BSIF;3x3;7;0,6;16,25
BSIF;3x3;7;0,8;16,25
BSIF;3x3;7;0,2;15,833